symbol,rank,consensus_score,days_in_top10_30,days_in_top25_30,consecutive_top10,consecutive_top25,signal_age_runs,rank_std_10run,persistence_history_runs,persistence_label
CLW,186.0,63.37282706481541,0.0,0.0,0.0,0.0,0,111.25380892356,30.0,rotating
LFST,187.0,63.08627545219735,0.0,0.0,0.0,0.0,0,88.02618928478046,30.0,rotating
CRM,188.0,63.037544026932125,0.0,0.0,0.0,0.0,0,128.79378867010627,28.0,rotating
PAYX,189.0,63.03466854813261,0.0,0.0,0.0,0.0,0,55.21449085158714,15.0,rotating
GGB,190.0,63.00590977767681,0.0,0.0,0.0,0.0,0,54.3,21.0,rotating
BION.SW,191.0,62.95363357221527,0.0,3.0,0.0,0.0,0,116.39226778441943,30.0,rotating
TYRES.HE,192.0,62.935289017829405,0.0,0.0,0.0,0.0,0,62.43204305482883,30.0,rotating
VZLA,193.0,62.92929315517048,0.0,0.0,0.0,0.0,0,180.35254364715792,21.0,rotating
TSM,194.0,62.92223935521158,0.0,0.0,0.0,0.0,0,92.96499341149871,23.0,rotating
BGC,195.0,62.85077088613253,0.0,0.0,0.0,0.0,0,78.70965633262541,27.0,rotating
LLY,196.0,62.83859586604643,0.0,0.0,0.0,0.0,0,110.29528548401332,30.0,rotating
ABCL,197.0,62.82335040189293,0.0,0.0,0.0,0.0,0,142.35100983133205,30.0,rotating
HOPE,198.0,62.77834430604956,0.0,0.0,0.0,0.0,0,20.21509337104333,14.0,rotating
NTRA,199.0,62.64105233291508,0.0,0.0,0.0,0.0,0,0.0,1.0,new_signal
KDP,200.0,62.633223192359765,0.0,0.0,0.0,0.0,0,74.54455043797635,24.0,rotating
CLN.SW,201.0,62.55249169380913,0.0,0.0,0.0,0.0,0,113.46735213267294,30.0,rotating
RMT,202.0,62.51115946539336,0.0,0.0,0.0,0.0,0,60.29593684486542,19.0,rotating
XRX,203.0,62.38555505524194,0.0,0.0,0.0,0.0,0,69.13927971855072,14.0,rotating
ANDR.VI,204.0,62.38269372543283,0.0,0.0,0.0,0.0,0,88.2073875017084,9.0,rotating
FCX,205.0,62.34249218093865,0.0,0.0,0.0,0.0,0,115.15072730990455,29.0,rotating
DC,206.0,62.32911456426007,0.0,0.0,0.0,0.0,0,211.6777031243489,20.0,rotating
SENS,207.0,62.31888829937178,0.0,0.0,0.0,0.0,0,54.78220513999048,14.0,rotating
CNH,208.0,62.310784928930175,0.0,0.0,0.0,0.0,0,64.18753773124499,27.0,rotating
GSL,209.0,62.3081920144409,0.0,0.0,0.0,0.0,0,49.30882273995193,29.0,rotating
ELE.MC,210.0,62.29768188083335,0.0,0.0,0.0,0.0,0,82.75530194495094,30.0,rotating
CF,211.0,62.17474644043576,0.0,0.0,0.0,0.0,0,72.93455970937235,20.0,rotating
MG,212.0,62.16413639979137,0.0,0.0,0.0,0.0,0,31.5,2.0,rotating
BMNR,213.0,62.15680170721714,0.0,0.0,0.0,0.0,0,123.75766642919541,30.0,rotating
NWL.MI,214.0,62.0954008043655,0.0,0.0,0.0,0.0,0,100.6486959677074,30.0,rotating
EVT,215.0,62.05229305074885,0.0,0.0,0.0,0.0,0,74.72676896534468,29.0,rotating
FAST,216.0,62.04913914144596,0.0,0.0,0.0,0.0,0,66.59399372315795,29.0,rotating
IAG,217.0,61.83303362206936,0.0,0.0,0.0,0.0,0,51.25075609198366,28.0,rotating
0Q2N.IL,218.0,61.72387860995502,0.0,0.0,0.0,0.0,0,106.06036017287514,29.0,rotating
MB.MI,219.0,61.69225793745005,0.0,0.0,0.0,0.0,0,124.3128613619685,8.0,rotating
HZO,220.0,61.67536928165264,0.0,0.0,0.0,0.0,0,21.12463017427761,18.0,rotating
SU.PA,221.0,61.66652822305153,0.0,0.0,0.0,0.0,0,117.13193415973288,30.0,rotating
ETG,222.0,61.65076926665504,0.0,0.0,0.0,0.0,0,87.76924290433409,29.0,rotating
MTS.MC,223.0,61.64868416026566,0.0,0.0,0.0,0.0,0,70.96625958862423,18.0,rotating
DXCM,224.0,61.57607485216624,0.0,0.0,0.0,0.0,0,107.88067482176777,30.0,rotating
QNST,225.0,61.57477167812705,0.0,0.0,0.0,0.0,0,60.276446477873925,22.0,rotating
VISN,226.0,61.574391373337264,0.0,0.0,0.0,0.0,0,170.2703732303421,10.0,rotating
VIR,227.0,61.572511299043406,0.0,0.0,0.0,0.0,0,37.40334209666296,28.0,rotating
SBH,228.0,61.52020007833678,0.0,0.0,0.0,0.0,0,109.29597430829737,22.0,rotating
M,229.0,61.513684653867045,0.0,0.0,0.0,0.0,0,116.54874516699012,11.0,rotating
FRO.OL,230.0,61.48282079044437,0.0,0.0,0.0,0.0,0,168.5847264730705,13.0,rotating
DSP,231.0,61.3889695786752,0.0,0.0,0.0,0.0,0,7.0,2.0,rotating
ARCAD.AS,232.0,61.36698646140477,0.0,0.0,0.0,0.0,0,25.088842141477954,20.0,rotating
PAGS,233.0,61.3553666091851,0.0,0.0,0.0,0.0,0,129.052702412619,12.0,rotating
CRBG,234.0,61.32877792279657,0.0,0.0,0.0,0.0,0,58.45716380393424,30.0,rotating
LILAK,235.0,61.25433106069684,0.0,0.0,0.0,0.0,0,83.3803933787794,29.0,rotating
TGB,236.0,61.233644458001606,0.0,2.0,0.0,0.0,0,110.36104385153304,24.0,rotating
SDGR,237.0,61.230982001473706,0.0,0.0,0.0,0.0,0,192.63945597929828,23.0,rotating
CRBN.AS,238.0,61.16301122731252,0.0,0.0,0.0,0.0,0,35.45924455894905,9.0,rotating
S,239.0,61.15700143044927,0.0,0.0,0.0,0.0,0,121.2758838351632,30.0,rotating
CCC,240.0,61.1448986606132,0.0,0.0,0.0,0.0,0,74.44924445553494,30.0,rotating
CXW,241.0,61.13397115537777,0.0,3.0,0.0,0.0,0,90.7088198578286,27.0,rotating
OPRT,242.0,61.09660672790096,0.0,0.0,0.0,0.0,0,72.40607709301754,5.0,rotating
CLF,243.0,61.061855854683046,0.0,0.0,0.0,0.0,0,95.98755127619415,15.0,rotating
ASML.AS,244.0,60.87305052967175,0.0,0.0,0.0,0.0,0,125.41945622589823,30.0,rotating
SDF.DE,245.0,60.85205312979379,0.0,0.0,0.0,0.0,0,63.566107321433485,29.0,rotating
ITRG,246.0,60.8478893297045,0.0,0.0,0.0,0.0,0,185.2070463022398,16.0,rotating
UMC,247.0,60.74576932465823,0.0,0.0,0.0,0.0,0,92.43722194008213,23.0,rotating
NTGY.MC,248.0,60.73989980470199,0.0,0.0,0.0,0.0,0,90.46988449202308,14.0,rotating
CABK.MC,249.0,60.68529661877074,0.0,0.0,0.0,0.0,0,47.334553974871255,30.0,rotating
ACVA,250.0,60.64962595712434,0.0,0.0,0.0,0.0,0,63.96256717799872,28.0,rotating
ABBV,251.0,60.63867527813446,0.0,0.0,0.0,0.0,0,69.77564044851184,29.0,rotating
NWL,252.0,60.55319480454005,0.0,0.0,0.0,0.0,0,32.45935920501204,30.0,rotating
EQH,253.0,60.54343552092604,0.0,0.0,0.0,0.0,0,33.31426121047861,17.0,rotating
ESTC,254.0,60.54154119526822,0.0,0.0,0.0,0.0,0,170.56681975108756,26.0,rotating
DHR,255.0,60.53487555638111,0.0,0.0,0.0,0.0,0,121.15811982694349,26.0,rotating
NXDR,256.0,60.4810985402812,0.0,0.0,0.0,0.0,0,112.4091188471825,11.0,rotating
ETW,257.0,60.405610520857,0.0,0.0,0.0,0.0,0,85.68337061530667,25.0,rotating
VALMT.HE,258.0,60.31825758127627,0.0,0.0,0.0,0.0,0,42.831712031572536,6.0,rotating
GM,259.0,60.25341444978315,0.0,0.0,0.0,0.0,0,55.09228621141076,27.0,rotating
MRK,260.0,60.25330231108734,0.0,0.0,0.0,0.0,0,69.15952573579435,30.0,rotating
ARX,261.0,60.23234586013872,0.0,0.0,0.0,0.0,0,51.8918105292155,14.0,rotating
CNK,262.0,60.11283796931238,0.0,0.0,0.0,0.0,0,74.4422595035911,23.0,rotating
CNC,263.0,60.09617685383533,0.0,0.0,0.0,0.0,0,79.92721689136935,30.0,rotating
DDD,264.0,60.09563446480442,0.0,0.0,0.0,0.0,0,134.505018493735,18.0,rotating
