symbol,direction,freshness,breakout_score,direction_confidence,deep_selection_tier,confirmation_available,confirmation_score,confirmation_label,price_return_1d,price_return_5d,realized_vol_20d_ann,normalized_5d_shock,distance_to_20d_high,distance_to_20d_low,distance_to_63d_high,distance_to_63d_low,follow_through_3d,confirmation_data_mode,confirmed_breakout_score,confirmed_breakout_rank
CRI,DOWN,CONTINUING,93.2558101857206,79.72788025477116,not_selected,True,86.96063654459209,CONFIRMED,-0.00931848445211314,-0.047363088166284095,0.2784813439502812,-1.2074222469239921,-0.07850425705277331,0.0,-0.14163782250912582,0.009473302825391272,1.0,close_based,88.66167210719216,20.0
GSP.MI,UP,NEW,94.23524993769868,76.74008167030777,adaptive,True,87.19806389373656,CONFIRMED,0.02318838336241935,0.1461039152047272,0.42467081360738984,2.4424445229904435,0.0,0.20068023900894416,0.0,0.3515399414614482,0.6666666666666666,close_based,88.62506047103186,21.0
DHT,UP,CONTINUING,92.14432903759403,81.07249129445522,adaptive,True,87.11280490415476,CONFIRMED,0.04065047654426324,0.08679245690426884,0.3600609736342349,1.7112804904154768,0.0,0.2576419923214641,0.0,0.4867513470442322,0.6666666666666666,close_based,88.42050424893449,22.0
IVR,DOWN,CONTINUING,89.37366627097133,74.69966449857867,core,True,95.11996348678605,CONFIRMED,-0.010719780920716349,-0.0888575600680297,0.17242111298293686,-3.658636037776094,-0.13386201609959214,0.0,-0.1854780686172519,0.0,1.0,close_based,88.16275508123721,23.0
TV,DOWN,CONTINUING,90.7611558893334,74.39573649936614,core,True,91.90699644706505,CONFIRMED,-0.026666641235351562,-0.0798319529766458,0.40111947228613865,-1.41292229078398,-0.23958334368136158,0.0,-0.27242522785410206,0.0,1.0,close_based,87.83182417865943,24.0
KMK.L,DOWN,CONTINUING,93.91471358775854,79.24859319483751,core,True,83.33330367928028,CONFIRMED,2.846789093347013e-08,-0.13212432874513436,0.4590495013411933,-2.043330145078331,-0.21176470588235297,2.846789093347013e-08,-0.24719097896923015,2.846789093347013e-08,0.6666666666666666,close_based,87.80706653663086,25.0
JEF,DOWN,CONTINUING,91.886422344041,77.27929677191474,not_selected,True,87.99942340921807,CONFIRMED,-0.03652885610152801,-0.042388487066130076,0.2589819406266864,-1.1619667568848444,-0.06748029529535282,0.0034762516303448177,-0.16663350576999603,0.07305763872996196,1.0,close_based,87.79889754916887,26.0
LUXE,UP,NEW,93.37499051744965,75.13051759213076,core,True,86.88104449683514,CONFIRMED,0.2321678744207012,0.20684934101759667,0.8699015311080591,1.6881044496835163,0.0,0.2321678744207012,0.0,0.2321678744207012,0.6666666666666666,close_based,87.77791212620151,27.0
BKR,DOWN,CONTINUING,89.95642919297606,78.1079231402664,not_selected,True,89.99999999999999,CONFIRMED,-0.06662473137074232,-0.08092210969825586,0.287058403148915,-2.001300022323058,-0.08474576071938722,0.0,-0.08474576071938722,0.12956655763948222,0.6666666666666666,close_based,87.59979922454131,28.0
FOA,DOWN,CONTINUING,89.95912404962652,68.92599081316519,core,True,95.9304481972002,CONFIRMED,-0.01558268918320127,-0.08959901640086776,0.2718129877084712,-2.340174841461108,-0.3139754710286534,0.0,-0.47921147198436387,0.0,1.0,close_based,87.54389464660636,29.0
IQE.L,DOWN,CONTINUING,96.64339750399154,92.26479360194266,not_selected,True,69.01612439119796,PARTIAL,-0.025219265627250742,-0.06322446184832475,0.6908850394774986,-0.6496727052959888,-0.12327417492877157,0.01716245363768043,-0.21604939326467087,0.23130199110298455,1.0,close_based,87.4794947897437,30.0
ARWR,DOWN,CONTINUING,95.71345712227176,83.95245528485643,not_selected,True,75.94376121949115,CONFIRMED,-0.02913880083596143,-0.0013294732075371796,0.3117103922743257,-0.030279142794936473,-0.07583051259357765,0.0029129489688972665,-0.07768723483616258,0.1682453461288833,1.0,close_based,87.43034798395452,31.0
DT,UP,CONTINUING,89.4004204010794,76.82589226579655,adaptive,True,90.76647178474462,CONFIRMED,0.0003625241694302783,0.09071146820163256,0.370689001440995,1.7372717756506253,0.0,0.12517837890218075,0.0,0.3701588952151498,1.0,close_based,87.2953301891224,32.0
GYC.DE,DOWN,CONTINUING,88.12831597159487,65.81950613045501,core,True,99.93597292373954,CONFIRMED,-0.03961583754243736,-0.1275899745430319,0.2768442310175082,-3.2718722704645637,-0.14621130227231993,0.0,-0.19597988408495814,0.0,1.0,close_based,87.2088510890103,33.0
DBX,UP,CONTINUING,88.44832773573891,73.65961016986459,adaptive,True,93.82053595194097,CONFIRMED,0.002923215711645888,0.09106682601859539,0.31246697293155307,2.0690517270291315,0.0,0.11623780377247717,0.0,0.504784760497319,1.0,close_based,87.10224668742467,34.0
