,HPE,DELL,CMBT.BR,MU,VLO,FRO,AMC,PSX,ERO,NAT,DHT,SMTC,REP.MC,SHELL.AS,KIN.BR,OKTA,HALO,P,BIRG.IR,SSABBH.HE
DHT,-0.17705442282454853,-0.047824771466825206,0.5945457482015006,0.025321725350433862,0.09589796859096573,0.8997035281578687,0.22318222903607315,0.04736054276541822,-0.05845362632877949,0.836118344496531,1.0,0.062282116586269365,-0.08384582963501178,0.0078068042988855765,0.04146375327968954,0.03160596289101451,0.12588666810187893,-0.25637048272874885,0.10557655547957084,0.018742206401579867
SMTC,0.5613494795229054,0.5233440051553494,0.09225365928963154,0.672434064009512,0.19960404043410176,0.03713017261351634,-0.110869541589814,0.05674747536095464,0.41559175608388216,0.10400342771787977,0.062282116586269365,1.0,-0.04215913488373944,-0.20827199761292947,-0.2588390662786247,-0.06288934144101632,0.034942734399729364,0.45926825367459195,0.33678538413268566,0.20484485657847454
REP.MC,0.05278408407518562,-0.08473622281226435,0.09002362755977754,0.05877499284023663,0.450644343618858,-0.06509792756364965,-0.08441047797288402,0.5078111527007778,-0.1771799230964454,0.03336612416680859,-0.08384582963501178,-0.04215913488373944,1.0,0.6713066574583031,-0.058916085078174335,-0.08580011105687578,-0.08968925290767646,0.11427970207026629,-0.17893430652546036,-0.3005604235897054
SHELL.AS,-0.17411808714504584,-0.21963583200917822,0.027456456407427318,-0.1857608715029014,0.2367530595231789,0.11633235089301015,-0.20661620355729707,0.35564838144138683,-0.3713703129697594,0.08536341566384383,0.0078068042988855765,-0.20827199761292947,0.6713066574583031,1.0,-0.09360731921748508,-0.175518922744033,-0.12066805968003888,-0.02779520420600066,-0.18637164251280566,-0.29533197251551024
KIN.BR,-0.29433722883738955,-0.393474865799848,-0.013332272171744616,-0.26344009244092953,-0.21875412526426172,0.02820572602965482,0.3483284145340311,-0.18794975416154067,0.0816601903988898,-0.015740804447592523,0.04146375327968954,-0.2588390662786247,-0.058916085078174335,-0.09360731921748508,1.0,-0.1575614440034259,-0.10355864639297784,-0.32636176411829254,0.0915931544984493,-0.10235081204306942
OKTA,0.009667522483417307,0.11535783992004146,0.07276174853599451,0.02578433935774005,-0.01581571740095025,0.09376934088701187,0.02479909699599943,-0.07753070753355479,-0.0037624036312882314,-0.011813549753927004,0.03160596289101451,-0.06288934144101632,-0.08580011105687578,-0.175518922744033,-0.1575614440034259,1.0,0.03854437260441025,-0.032716328269463066,-0.2655160618444907,0.13529726627485036
HALO,-0.11506636863700936,-0.04886684390812836,0.011069441472672498,-0.0070860521254557576,-0.22426043743379273,0.09375653574577233,-0.07676176594533574,-0.1498927337932756,0.28607711821211446,0.04985452868958373,0.12588666810187893,0.034942734399729364,-0.08968925290767646,-0.12066805968003888,-0.10355864639297784,0.03854437260441025,1.0,0.032874281275962904,-0.016373253663669866,-0.08784374784957587
P,0.5604304808971617,0.44868240966501083,-0.05051627384424306,0.48191474312760013,0.19513783857671899,-0.25582798054894973,-0.20787117483703607,0.12202627822177649,0.27901288295734894,-0.19127192652832645,-0.25637048272874885,0.45926825367459195,0.11427970207026629,-0.02779520420600066,-0.32636176411829254,-0.032716328269463066,0.032874281275962904,1.0,0.27214539600527654,0.1775820321352035
BIRG.IR,0.297582634750885,0.3405346230348258,0.06345390588165115,0.2254186739620474,0.004530934908248376,0.07814275071759415,-0.08359623771212514,-0.050281571808451296,0.20496479958799388,0.14905406145149033,0.10557655547957084,0.33678538413268566,-0.17893430652546036,-0.18637164251280566,0.0915931544984493,-0.2655160618444907,-0.016373253663669866,0.27214539600527654,1.0,-0.04466422262238267
SSABBH.HE,0.21111992724259981,0.20819838832282186,0.3545439783327397,0.08535379774539008,0.14014786000385426,0.04447797518487785,0.03252647554398652,0.11915785584544286,0.018821242544786444,0.011163952614358402,0.018742206401579867,0.20484485657847454,-0.3005604235897054,-0.29533197251551024,-0.10235081204306942,0.13529726627485036,-0.08784374784957587,0.1775820321352035,-0.04466422262238267,1.0
