symbol,stage1_history_days,stage1_ret_5d,stage1_ret_20d,stage1_ret_63d,stage1_ret_126d,stage1_pullback_20d,stage1_median_volume_20d,discovery_order,value_seed,adaptive_deep_score,adaptive_momentum_score,adaptive_pullback_score,adaptive_volume_rank,deep_selection_tier,deep_selection_reason,deep_selected,challenger_dynamic_score,challenger_tier,challenger_rank,live_selected
DG,357,-0.0247908479725482,0.0384743091833688,0.0768622705223553,-0.0661450840897355,0.0638841628760243,2419250.0,1271,False,58.95596866301543,57.444248395581866,72.56427744969244,62.38119059529765,adaptive,adaptive_pullback,True,58.95596866301543,adaptive500,819,True
PBI,357,0.0194231858829705,0.081148514351667,0.0104408246816065,0.6971257141233831,0.014789546644493,1417450.0,976,False,58.93125313811724,76.3713510167151,0.0,46.87343671835918,adaptive,adaptive_balanced,True,58.93125313811724,adaptive500,820,True
OWL,357,-0.0873440706405759,-0.1217838846377951,0.085996949779173,0.2194199230490465,0.1633986958659308,17783000.0,730,False,58.90154961205808,64.36585040464112,0.0,96.29814907453726,adaptive,adaptive_balanced,True,58.90154961205808,adaptive500,821,True
LDA.MC,362,0.026194175404625,0.0183486614792396,0.1502095955026061,0.1567858621832036,0.0162481208468789,360828.5,1710,False,58.85895489361158,73.92288953535602,0.0,23.51175587793897,adaptive,adaptive_balanced,True,58.85895489361158,adaptive500,822,True
IAG.L,358,-0.0383258600066158,-0.0630011454753722,-0.0964380188089262,0.1607335823436246,0.0750791752386644,7785740.5,1840,False,58.80423468686596,46.22885228428244,69.58174354466115,89.59479739869936,adaptive,adaptive_pullback,True,58.80423468686596,adaptive500,823,True
POSTI.HE,232,0.0241327065837617,0.1204620504895017,0.4477611682327225,0.5225753347847328,0.0,32432.0,1765,False,58.77056772064303,93.28672793942567,0.0,3.951975987993997,adaptive,adaptive_momentum,True,58.77056772064303,adaptive500,824,True
DFDS.CO,351,0.0560990911515051,0.1036127966219724,0.2931309731853588,0.5872548421223958,0.0,61957.0,1655,False,58.74159340225238,91.79593846205564,0.0,8.15407703851926,adaptive,adaptive_momentum,True,58.74159340225238,adaptive500,825,True
AI.PA,362,-0.0399630285435224,-0.0034768121663455,-0.0039543944125585,0.0845744057600772,0.0400738392200412,646341.5,1797,False,58.73426631235276,56.644471865607045,73.24921236617196,30.61530765382691,adaptive,adaptive_pullback,True,58.73426631235276,adaptive500,826,True
EGO,357,-0.0836372355129528,-0.0013051200023497,0.1930501004054474,0.0739029940743245,0.16332843963061,2862550.0,1253,False,58.65181471529807,71.00689668695708,0.0,67.18359179589794,adaptive,adaptive_balanced,True,58.65181471529807,adaptive500,827,True
IBKR,357,-0.0238539973598621,-0.0577717397595807,-0.0418241441143594,0.3030231110062251,0.0948121601276185,3518350.0,1176,False,58.62147392213463,58.35018509284757,53.14512629381501,73.23661830915458,adaptive,adaptive_balanced,True,58.62147392213463,adaptive500,828,True
