symbol,stage1_history_days,stage1_ret_5d,stage1_ret_20d,stage1_ret_63d,stage1_ret_126d,stage1_pullback_20d,stage1_median_volume_20d,discovery_order,value_seed,adaptive_deep_score,adaptive_momentum_score,adaptive_pullback_score,adaptive_volume_rank,deep_selection_tier,deep_selection_reason,deep_selected,discovery_dir_5d,discovery_dir_20d,discovery_dir_63d,discovery_dir_acceleration,discovery_dir_regime_shift,discovery_breakout_direction_score,discovery_breakout_confidence,discovery_breakout_direction,discovery_breakout_candidate,discovery_breakout_score,discovery_freshness_score,discovery_source_tier,prior_direction,prior_candidate,discovery_signal_freshness,fresh_discovery_rank
GFS,358,-0.0797595838723472,-0.0632395401850183,-0.4888153141396718,-0.0343096329636761,0.1586662398604399,4067000.0,1190,False,27.756211692133817,18.916106982987863,0.0,76.33816908454227,not_selected,,False,-0.9209415554491719,-0.48308160022525726,-0.9607265830680117,-0.8562166459637336,0.7256130905310879,-0.6398438742909056,61.713405794226134,DOWN,True,81.99219371454528,65.12881190952731,not_selected,DOWN,1.0,CONTINUING,
SUZ,358,0.1387137362477124,0.073721747539611,0.0840335913176939,-0.2029093858221423,0.0044101392722045,3204750.0,1191,False,43.25081805704262,45.21451273703642,0.0,70.93546773386693,not_selected,,False,0.9922439943344695,0.547180451817581,0.32402195927845845,0.9838573248152711,0.4385581257504903,0.723698882684608,69.21479283944811,UP,True,86.18494413423039,89.65013025712989,not_selected,UP,1.0,CONTINUING,
LYB,358,-0.032669391480632,0.085463921088208,-0.0746733246262036,0.1082323751514795,0.0720159482953773,4127950.0,1192,False,54.53483105893289,47.405512697929616,69.82822357042693,76.58829414707353,adaptive,adaptive_pullback,True,-0.5739462136260515,0.6120541307747731,-0.2901163469273433,-0.7934612917269178,0.7974968269622673,-0.1416303590823805,13.665664662235894,MIXED,False,57.08151795411902,61.83129750928515,adaptive,MIXED,0.0,NONE,
IP,358,0.0234707230789761,-0.0597234460906264,0.2971462989781304,-0.0441791957137658,0.0392399993955731,3616800.0,1193,False,51.56014543419946,57.92679260837252,0.0,73.78689344672335,core,core,True,0.43772608933586166,-0.4603027681843228,0.8301395670441767,0.6457834564462358,-0.9122137576451451,0.17869838533603694,17.16720256124689,MIXED,False,58.93491926680185,55.02422157571262,core,MIXED,0.0,NONE,
AA,358,0.0251898902439462,0.1582396799637435,-0.310989483663328,-0.1606250668115958,0.0517752026064087,5061100.0,1194,False,31.67687695124105,23.98106676364864,0.0,81.5407703851926,not_selected,,False,0.46509868528928144,0.8664512997910484,-0.8465806472416462,-0.2797405698851558,0.9883450853103429,0.27204172800230275,26.450920691929753,MIXED,False,63.60208640011514,58.20447047166344,not_selected,MIXED,0.0,NONE,
ECHO,358,-0.0386667039659288,0.0068660111229521,-0.2972709981078333,-0.1897359277752548,0.0647498146669931,3762750.0,1195,False,36.22917982417932,17.054464291445434,76.07552243430493,74.58729364682341,not_selected,,False,-0.6488639787266826,0.05715440307972405,-0.8302945628775489,-0.6682996660263798,0.7667436106546083,-0.3619003494195212,34.810504845615576,MIXED,False,68.09501747097606,58.3017259594017,not_selected,MIXED,0.0,NONE,
LEN,358,0.0322580384390693,0.0003422564606347,-0.0121756448423571,-0.2382263025523517,0.0056702199849125,2087550.0,1196,False,31.95229266136854,30.367773023669663,0.0,56.97848924462231,not_selected,,False,0.5684032155470596,0.002852129438233798,-0.04866410931637625,0.5672436913862755,0.042050593691594175,0.28158817827263444,26.34166550124194,MIXED,False,64.07940891363172,69.17130535965686,not_selected,MIXED,0.0,NONE,
TECH,358,0.0026322109906045,0.0047191001947983,0.5094872382969791,0.2594467259053101,0.0009644252280657,2987100.0,1197,False,64.98387787916634,80.69143392700667,0.0,69.18459229614807,adaptive,adaptive_balanced,True,0.05259564069069683,0.039305574742632646,0.9666128836619283,0.02904055088694571,-0.9170621478931963,0.08469891383022597,8.078386648759821,MIXED,False,54.2349456915113,65.1047696843052,adaptive,,,NONE,
DOCU,358,0.0088319048294984,0.081650877169068,0.2274939434332676,0.4128355442553861,0.0553907883477985,2857250.0,1198,False,75.48127388599184,83.71239687355424,68.01544449514004,67.73386693346673,core,core,True,0.17482364226365252,0.5917949554081042,0.7211206260340779,-0.22756150579187673,0.0940271956809199,0.27245434384595013,25.92677716763175,MIXED,False,63.62271719229751,55.75027301381989,core,,,NONE,
LULU,358,-0.0057138080242817,-0.0165392110107787,-0.0708284000874909,-0.3407432268669615,0.0797169066264892,2629400.0,1199,False,34.77282431175385,20.975141082423708,57.19891847639839,65.03251625812906,not_selected,,False,-0.11378129960550178,-0.13696061031528153,-0.27596911128117685,-0.03156961130613234,0.05938997933797476,-0.11014483348007645,10.436760196912795,MIXED,False,55.50724167400382,50.01331227096526,not_selected,MIXED,0.0,NONE,
ADM,358,-0.033809308345522,-0.0422887317183394,0.0211821535287841,0.1788833441026234,0.033809308345522,3741250.0,1200,False,57.73072598753375,53.57697940273688,67.57633438610047,74.33716858429214,adaptive,adaptive_pullback,True,-0.5890344102459288,-0.33850766588025694,0.08452644082717202,-0.4339415897092427,-0.45432139076259254,-0.38087873043787496,36.62170904642909,MIXED,False,69.04393652189376,72.05372600389576,adaptive,MIXED,0.0,NONE,
CNC,358,-0.0033732170589608,0.0170552363509672,0.1361650242997754,0.5341043577672937,0.036608880628643,3547000.0,1201,False,70.97955196740125,76.71027736528302,60.43220965040455,73.23661830915458,core,core,True,-0.06736217393799133,0.14117764756676351,0.49650737633196074,-0.15156370839520947,-0.2559013168172917,0.033658992799316514,3.2307750091890224,MIXED,False,51.68294963996583,59.404093567146916,core,MIXED,0.0,NONE,
WDAY,358,0.0198279416250466,0.2174838449281273,0.5676504066396035,0.4928972168263099,0.0582707626889084,3881600.0,1202,False,81.51410265428592,92.68573907396106,63.02542583765619,75.18759379689844,core,core,True,0.3770007227821081,0.9480716686019326,0.9789037550919389,-0.5985344471200866,0.35641542433537415,0.41288835025842646,39.75212200637156,MIXED,False,70.64441751292132,63.215099605533766,core,MIXED,0.0,NONE,
AR,358,0.0245680298304376,0.1201298573350557,0.0600559098239645,0.1217853594114428,0.0,3873300.0,1203,False,54.52609452181042,62.39590799359279,0.0,75.08754377188595,not_selected,,False,0.45529565348085643,0.7620482544376374,0.23570697506286556,-0.10885564352285561,0.7660286191274307,0.417288539121268,40.169501542323964,MIXED,False,70.8644269560634,59.867692420237226,not_selected,MIXED,0.0,NONE,
HUT,358,0.0582992824742922,-0.1546371315407499,-0.2402701323578591,0.4445007937780023,0.2371520467239143,4712700.0,1204,False,41.91392723436029,40.80711165379966,0.0,80.24012006003002,not_selected,,False,0.8229810029323316,-0.8587706608941085,-0.7447584521318605,0.9594682427562304,-0.6547732954387065,0.04690418684376871,4.5513955192696525,MIXED,False,52.34520934218843,69.72418521940013,not_selected,DOWN,1.0,NONE,
CG,358,0.0113706687865564,0.060252259676764,0.0792973705680633,-0.0247263410989674,0.0416275723675179,4244050.0,1205,False,56.97688290597733,53.40734930263453,59.23871878381307,77.23861930965484,adaptive,adaptive_pullback,True,0.22357244521129999,0.4637687924435577,0.3069634299000058,-0.07371397124616703,0.3370714612094752,0.2480227980309944,23.955478604219227,MIXED,False,62.40113990154972,53.50304650566539,adaptive,MIXED,0.0,NONE,
AEG,358,-0.0212539651974744,0.0032679446594654,0.0859564897060332,0.2776818374917527,0.0335781431049895,4205650.0,1206,False,66.00137591154528,67.0368179155074,63.771257009495,77.13856928464232,core,core,True,-0.40120082608394714,0.027226141926529928,0.3308887614857187,-0.41481998062678527,-0.2356830420060229,-0.17045269844665317,16.46075096129773,MIXED,False,58.52263492233266,67.60610260547593,core,MIXED,0.0,NONE,
AMCR,358,0.0307457441920278,0.0124223998311041,0.2338235950106779,-0.0297309237123889,0.0271660771903479,3498200.0,1207,False,53.45902839629102,61.24366640109229,0.0,72.73636818409204,not_selected,,False,0.547577556486772,0.1031517899626368,0.7330527744330064,0.5026179674169609,-0.5497850046196622,0.3455642236230677,33.14322199806536,MIXED,False,67.27821118115338,56.71384636020714,not_selected,MIXED,0.0,NONE,
FE,358,-0.0135420950566735,-0.0517185940129205,0.009480623311169,-0.0606679757659829,0.0416818105078693,3919400.0,1208,False,47.89325696407671,37.66143847090875,66.53851756306797,75.43771885942971,adaptive,adaptive_pullback,True,-0.2644080520984575,-0.40614690064825315,0.037904324720944564,-0.012248318510814043,-0.498481225332888,-0.22747127831891048,21.909045808469948,MIXED,False,61.373563915945525,59.121491794926996,adaptive,MIXED,0.0,NONE,
INIO,55,-0.1553846505972055,-0.1624714088650686,,,0.2223796295164364,3488200.0,1209,False,37.90884758644382,43.38855421686747,0.0,72.58629314657328,not_selected,,False,-0.9960110821238458,-0.8749773355804313,,-0.9799117390677642,,,0.0,MIXED,False,,,not_selected,MIXED,0.0,NONE,
JHX,358,0.0358483852591453,0.1283005147358822,0.4124767597378229,0.2078025134936179,0.02380951650369,5657000.0,1210,False,68.61814544002766,83.10385050155344,0.0,83.44172086043021,adaptive,adaptive_momentum,True,0.6150275155918583,0.7891486733747215,0.9288448639109417,0.07532219946874712,-0.026438720695593228,0.5335427204320692,52.02908964853697,MIXED,False,76.67713602160346,51.9852938705614,adaptive,MIXED,0.0,NONE,
GPN,358,0.0381763510389256,0.0727189649774497,0.2852046693537446,0.2061397593698619,0.0106506603050566,2973800.0,1211,False,64.05085346305063,79.2228643133165,0.0,69.03451725862931,adaptive,adaptive_balanced,True,0.6431497527606095,0.5412991714285188,0.8146895830109132,0.3798909449353752,-0.17635870899918488,0.508815474224106,48.51818990456626,MIXED,False,75.4407737112053,59.26017830291396,adaptive,UP,1.0,NONE,
ALB,358,0.0035414508186062,0.1769175359294847,-0.2356748651015899,-0.2835694119588089,0.0702967352476003,2225300.0,1212,False,34.629083042186295,21.50260359560254,60.33100264367771,59.179589794897446,not_selected,,False,0.07071080975940179,0.9003969803850425,-0.7364600555675874,-0.6716585069898307,0.9870678517788387,0.10021856346886081,9.40821191624133,MIXED,False,55.01092817344304,54.55521407103982,not_selected,MIXED,0.0,NONE,
NWSA,358,0.0520585477516,0.0972320703138853,0.1801526403018678,0.3394827085024798,0.0,3333800.0,1213,False,65.19086323071014,80.4322428134951,0.0,71.63581790895448,adaptive,adaptive_momentum,True,0.7783500441787145,0.669737662844754,0.6172873560333502,0.5042661300896173,0.38029763180856163,0.6324155215685849,60.55085980521226,UP,True,81.62077607842924,73.04385778456239,adaptive,UP,1.0,CONTINUING,
DECK,358,-0.0086024383206808,-0.1460739085127511,-0.2036970933267171,-0.2662477586209507,0.1429399548086959,2200850.0,1214,False,20.15713183319949,10.931824004393956,0.0,58.67933966983492,not_selected,,False,-0.1703710360192223,-0.8388507548906412,-0.6722232981121565,0.5067304552613382,-0.6718357456264309,-0.32749497775562586,30.71965146521131,MIXED,False,66.3747488877813,54.71161424753095,not_selected,MIXED,0.0,NONE,
FHN,358,-0.0542215195614782,-0.0614911742244926,0.0080877799470016,0.0272492652941889,0.0686498582837018,4453200.0,1215,False,52.99961989740725,42.58136759988936,78.1980309345681,79.03951975987994,adaptive,adaptive_pullback,True,-0.7948362780034974,-0.4718336155056708,0.03233983833794409,-0.6509667285859729,-0.5652992611757398,-0.5382815833615439,52.13576226240386,MIXED,False,76.9140791680772,81.04915574961956,adaptive,MIXED,0.0,NONE,
TTMI,358,-0.1066740603800641,0.0332137319832859,-0.4298044945831104,0.052483657579035,0.2034330652925313,3133250.0,1216,False,33.96826020677936,30.460496097526136,0.0,70.03501750875438,not_selected,,False,-0.9723392855217463,0.2699233059845287,-0.937768797062162,-0.9800786482418586,0.9349821834999604,-0.46740379001809174,44.63951704417408,MIXED,False,73.37018950090459,65.4903678566111,not_selected,,,NONE,
CRBG,358,-0.0389492466721315,-0.0148561259419119,0.1729054490479682,0.1785416287221979,0.0771238511252803,4395700.0,1217,False,67.66912731480318,68.37260272054081,68.49781291610293,78.63931965982992,core,core,True,-0.65212369812825,-0.12317241600953026,0.599022860454269,-0.6073452974989302,-0.6027578046122828,-0.3183216243337315,30.81222746395967,MIXED,False,65.91608121668658,80.28698374943018,core,MIXED,0.0,NONE,
SW,358,0.0450317357816432,-0.0180956746441635,0.2724678433185996,0.0991403774243657,0.0027840640347041,4321850.0,1218,False,58.53751436095551,68.13977045583282,0.0,78.08904452226113,adaptive,adaptive_balanced,True,0.7166067837724223,-0.14966455632486625,0.7968311925382833,0.7578365479029131,-0.7802205611594869,0.3706358283958865,35.845435069423075,MIXED,False,68.53179141979433,60.975827986553654,adaptive,MIXED,0.0,NONE,
PHYS,358,0.0735917707900708,0.165351764432287,0.0389801252253796,-0.0995681553288182,0.0,3743850.0,1219,False,45.31676579624927,47.69948871750576,0.0,74.43721860930465,not_selected,,False,0.899927000751659,0.8804872053890198,0.15466913012990519,0.568346233170614,0.9103854344465298,0.7180080611710142,69.04766365143067,UP,True,85.90040305855071,84.40299768085923,not_selected,UP,1.0,CONTINUING,
ARCC,358,0.0132181102121695,0.0467436631750701,0.0860464156672495,0.0947418225120331,0.0128776732047755,3960750.0,1220,False,53.65430270177037,60.85666107314864,0.0,75.63781890945472,not_selected,,False,0.2583711027831682,0.37095542814458315,0.33120904416725366,0.030634299943337554,0.19186565131493238,0.24524496961634507,23.628291607433706,MIXED,False,62.262248480817256,54.353263646169786,not_selected,MIXED,0.0,NONE,
ROIV,358,-0.0240834288708996,0.0777187073361791,0.2293949130341637,0.2905166640243206,0.0248663173056896,5849250.0,1221,False,75.14058569655647,81.0771509791797,59.203482228963146,83.991995997999,core,core,True,-0.4475789227373796,0.5700898150005483,0.7247504007849397,-0.701507279901921,0.04891019701933743,-0.01844909923178631,1.8006099350282683,MIXED,False,50.92245496158932,71.94305814897402,core,MIXED,0.0,NONE,
KNX,358,-0.0313914194341561,-0.0236602562067121,-0.0583462658534587,0.1439594381541169,0.0654843499579186,3159050.0,1222,False,52.57527584660886,44.97604222771755,73.49885212291734,70.38519259629815,adaptive,adaptive_pullback,True,-0.5565550803965968,-0.19465290295066479,-0.22923800877769282,-0.469576662270409,-0.051331165885543976,-0.34906390021593536,33.355770995121546,MIXED,False,67.45319501079678,66.15953692678531,adaptive,MIXED,0.0,NONE,
LVS,358,0.0395865227344875,-0.0140549253225921,-0.0437819128811189,-0.1308147737991116,0.046082768739747,4295650.0,1223,False,35.32236023425162,30.780693256522603,0.0,77.73886943471736,not_selected,,False,0.6593882176773117,-0.1165917248787019,-0.17335897574453543,0.6972892996199824,-0.0015590523401523,0.28196664241181896,27.255129804914315,MIXED,False,64.09833212059095,72.63461882169676,not_selected,MIXED,0.0,NONE,
AKAM,358,-0.082118049783655,-0.0541193577440742,-0.2865529109116758,0.056027172318334,0.156038015076229,3065950.0,1224,False,32.21999702933454,27.71333373270486,0.0,69.73486743371686,not_selected,,False,-0.9278019000125572,-0.42271626379504545,-0.8164951838783167,-0.8790936334580827,0.3526774083333525,-0.6470448993925573,61.76705499078776,DOWN,True,82.35224496962786,72.39868844155401,not_selected,DOWN,1.0,CONTINUING,
NTNX,358,0.0092663009780413,0.1251482353907913,0.4272825677838117,0.7548864598602365,0.0222221423789924,2467600.0,1225,False,77.06826888662377,91.72486905075355,47.83960749697136,62.681340670335175,core,core,True,0.18323304934311463,0.7790314383832013,0.9365407480358845,-0.41398850632928175,-0.10458638697120157,0.2969525466411409,28.032974025337516,MIXED,False,64.84762733205704,65.28488822769768,core,MIXED,0.0,NONE,
IVZ,358,0.0105003131986518,0.1192268947915089,0.1895575088689611,0.2709121817497268,0.0,4414250.0,1226,False,65.74795568513466,79.61217779420694,0.0,78.73936968484242,adaptive,adaptive_balanced,True,0.20697249537660364,0.7588751495638748,0.6400332328861923,-0.36801760087754487,0.5302544551596976,0.32723744627733947,31.680153472147136,MIXED,False,66.36187231386697,52.6811190632255,adaptive,MIXED,0.0,NONE,
XYZ,358,0.0414201297102723,-0.0045727708832186,0.1958942230801048,0.6219608082490808,0.0226842885490394,4282700.0,1227,False,65.54210028665602,79.5706207725035,0.0,77.53876938469234,adaptive,adaptive_balanced,True,0.6796173425956203,-0.0380879899602336,0.6547549582860286,0.69173051280492,-0.5834082714542932,0.3725817244470867,36.002875839330414,MIXED,False,68.62908622235433,62.27159691570977,adaptive,MIXED,0.0,NONE,
ARES,358,0.0174613141677169,0.1161844628903332,0.1510068629193826,0.2475358753008025,0.0447641524122823,2238900.0,1228,False,68.38598646509617,76.1072907353453,59.403972956305,59.329664832416206,core,core,True,0.3356891940817163,0.7479139246645821,0.539909211347661,-0.22763711689102464,0.5931148758927036,0.382455685303875,35.912378394179015,MIXED,False,69.12278426519376,52.98130402916401,core,,,NONE,
KIM,358,-0.0066061045395607,-0.0830792806475274,-0.0088267158566742,0.0555964388930134,0.0749711936093775,3531050.0,1229,False,49.541301203268745,42.18824878745072,60.396993970614375,73.03651825912956,not_selected,,False,-0.13135863589313837,-0.5994750431170957,-0.035292199858569046,0.27593281510961915,-0.6655833337965019,-0.20594195188372713,19.7612583794783,MIXED,False,60.297097594186354,52.67989185037616,not_selected,MIXED,0.0,NONE,
OVV,358,-0.0095354529252135,0.0887573941600501,0.1464149970144583,0.2995322489576344,0.0362166743489638,3178900.0,1230,False,70.94064148291176,76.92671112869391,61.98673408111725,70.73536768384191,core,core,True,-0.18843017985882124,0.628930601482384,0.5267670494699945,-0.5611403122867843,0.39925675477603495,0.10741626685369546,10.270102052232389,MIXED,False,55.37081334268477,61.250066940739885,core,MIXED,0.0,NONE,
WY,358,0.0347310323433325,-0.0073141121784477,0.0344032907453359,-0.0014886822418045,0.0545665572401669,5224250.0,1231,False,45.79963808386744,46.626582670085845,0.0,82.09104552276139,not_selected,,False,0.6009421847879072,-0.06087556890405279,0.13675101541302503,0.6237935772199367,-0.18036304723690247,0.29229882624260983,28.444667668321607,MIXED,False,64.6149413121305,67.11693793300215,not_selected,MIXED,0.0,NONE,
EGO,358,0.243606316925963,0.4931760819913759,0.4859358675323981,0.1143174772206903,0.0,2800900.0,1232,False,65.30310799552466,81.70253706131597,0.0,67.1335667833917,adaptive,adaptive_momentum,True,0.9998827455414592,0.9994615002211827,0.9598297785760262,0.9838758867058566,0.9977259775743165,0.9903524406027403,94.15284120777777,UP,True,99.517622030137,99.43617092549087,adaptive,UP,1.0,CONTINUING,
FLEX,358,-0.0914005161262649,-0.0355755545791319,-0.2372940811900917,0.6828404664413574,0.1596153846153846,3167200.0,1233,False,43.60488628923481,45.90661878695831,0.0,70.43521760880441,not_selected,,False,-0.9496310563988334,-0.28807240652729466,-0.7394099288909483,-0.9288758081421109,0.3778584112416171,-0.6158082283893764,58.849887398881705,DOWN,True,80.79041141946882,73.57594156789031,not_selected,DOWN,1.0,CONTINUING,
VTR,358,0.0288377738028333,-0.0439168288709849,0.0680047605876834,0.0989786997070458,0.0398076068466554,2958750.0,1234,False,48.26971890141418,53.8178327743928,0.0,68.83441720860431,not_selected,,False,0.5203032445340745,-0.3504648305057148,0.2655025563034175,0.6619854392848475,-0.575064073326668,0.183190829703609,17.462695624898053,MIXED,False,59.15954148518045,61.45090549354086,not_selected,MIXED,0.0,NONE,
SGI,358,0.0057200570383459,-0.1088009419096649,-0.0793028465710065,-0.2716077151068752,0.0779817596245019,2744850.0,1235,False,33.10534895587916,18.420811439285373,54.93817978674312,66.43321660830416,not_selected,,False,0.11390466011417003,-0.719532296242759,-0.3069832698389758,0.5773015350348629,-0.6838200192124472,-0.14468086141655723,13.739615471241692,MIXED,False,57.23404307082786,56.79544955241522,not_selected,MIXED,0.0,NONE,
UDR,358,0.0291183071424729,-0.0175272469270344,0.0111458061751823,0.0371908172352175,0.0353364827950962,2930500.0,1236,False,43.34502708577998,45.93529558688553,0.0,68.58429214607304,not_selected,,False,0.5243830642336511,-0.14503051209754939,0.04455370934468877,0.5849814467844642,-0.20759429631345452,0.2239772073729587,21.342260360380777,MIXED,False,61.198860368647935,65.37899683500963,not_selected,MIXED,0.0,NONE,
BBIO,358,-0.031091850164876,-0.0601987298909054,0.187066256326241,0.1769873283469936,0.0504310468336886,2274800.0,1237,False,65.06986938716813,66.94491159455846,77.07339005227702,59.77988994497249,core,core,True,-0.552405761544477,-0.46341858235240746,0.6341127502853101,-0.31026928719056296,-0.8323839046087418,-0.33175170940763515,31.173707401265727,MIXED,False,66.58758547038175,74.65047016434627,core,,,NONE,
AIG,358,0.0034155871972509,-0.0550538720379818,-0.0039180519325202,-0.0312988854587122,0.0476309207005268,2828350.0,1238,False,46.657595447394776,37.8697543481689,65.27530940588986,67.43371685842922,not_selected,,False,0.06820568312420972,-0.42909120584530414,-0.015670924730195438,0.33067069762997026,-0.4915487396111682,-0.0721824696687152,6.865639755108136,MIXED,False,53.60912348343576,52.14469472977859,not_selected,MIXED,0.0,NONE,
CRDO,358,-0.0791153661718535,0.1780216140256427,0.0219725461586286,0.8746171569503385,0.1991019424337622,4309300.0,1239,False,61.50137517527069,72.98070525211484,0.0,77.83891945972987,adaptive,adaptive_balanced,True,-0.9189614660981893,0.9021241709327799,0.08766457373416549,-0.985860436623263,0.9367042052591198,-0.14050937783487763,13.583861837658466,MIXED,False,57.025468891743884,65.64814059822145,adaptive,MIXED,0.0,NONE,
GLPI,358,0.0225759721222515,-0.0615049026973446,-0.0858229675789697,-0.0792956744823574,0.0647685209943086,2439500.0,1240,False,30.74902971397232,27.16833247126036,0.0,62.18109054527263,not_selected,,False,0.42314718769829013,-0.47192254524376903,-0.33041306490318667,0.6405134866122634,-0.3297922750562932,0.05452503007989013,5.143191431647866,MIXED,False,52.726251503994504,65.04532350141343,not_selected,MIXED,0.0,NONE,
WEC,358,-0.039441735816712,-0.05290167469991,-0.0477047705996603,-0.063661783635751,0.039441735816712,2145900.0,1241,False,42.46579936847792,31.87451540118785,72.70586654736277,57.82891445722862,adaptive,adaptive_pullback,True,-0.6577483990599977,-0.4143465124884539,-0.18853629505181604,-0.4810321878651146,-0.36059792962060516,-0.46145782263296864,43.22675566640147,MIXED,False,73.07289113164843,71.94400987397682,adaptive,MIXED,0.0,NONE,
