symbol,stage1_history_days,stage1_ret_5d,stage1_ret_20d,stage1_ret_63d,stage1_ret_126d,stage1_pullback_20d,stage1_median_volume_20d,discovery_order,value_seed,adaptive_deep_score,adaptive_momentum_score,adaptive_pullback_score,adaptive_volume_rank,deep_selection_tier,deep_selection_reason,deep_selected
APMD,12,0.16499637132732148,,,,,352400.0,88,True,34.54175587793897,50.0,0.0,23.411705852926463,core,core,True
ARR,358,-0.0031041566980993807,0.011457910927592074,0.04045020800615462,0.002345542424776914,0.007272778135357427,3625600.0,89,True,47.180896324447254,47.48857836383519,0.0,73.03651825912956,core,core,True
AD,354,0.008556737744143117,0.017261286472694426,-0.13091573820171398,-0.0860242768139724,0.01723176597478715,131200.0,90,True,26.593825516642983,26.74321686987855,44.957282809016974,14.457228614307155,core,core,True
PARR,355,0.14510955478697407,0.10950383047788859,0.356080619201252,0.9342446171232526,0.044697983978538636,1097450.0,91,True,65.99160267654604,91.06203000727422,0.0,41.92096048024012,core,core,True
ORC,358,0.015220685238929166,0.00031672873353194575,0.02515032797765482,-0.0250607681512508,0.0,4932300.0,92,True,45.84894083256721,43.440119434154056,0.0,80.8904452226113,core,core,True
GCV,358,-0.01702126105374524,-0.00645165789098312,0.04914039793486302,0.07876324885722608,0.029411835418260313,26050.0,93,True,47.54935962870979,52.200920836484684,59.95757544721779,4.052026013006503,core,core,True
PEO,354,0.02419354218474057,0.0968958937822253,0.09227116700326476,0.14554657895142253,0.0,51750.0,94,True,44.44396612286033,66.50945495295858,0.0,8.054027013506754,core,core,True
DAC,354,0.05754765061875755,0.13758834412328458,0.11675047784486603,0.4249416053897024,0.0,118750.0,95,True,52.37887387566235,77.94007397041185,0.0,13.706853426713355,core,core,True
AZUL,53,-0.05562127820125051,-0.07745660450914882,,,0.08799999782017298,32400.0,96,True,37.43312370970883,44.9171686746988,66.62763606287669,5.152576288144072,core,core,True
HRTG,358,0.04692350239941856,0.24916572059484676,0.40433509579557225,0.3678440834206018,0.04316956822739537,286100.0,97,True,65.4843474088905,89.57300664071721,0.0,21.11055527763882,core,core,True
CII,354,-0.007150596514791108,-0.033440984182839806,0.01136744408098389,0.112090053367212,0.008340576956709422,93900.0,98,True,33.54927611091511,48.01755954244808,0.0,11.85592796398199,core,core,True
BCE,358,-0.0004279087942969939,0.07898388092153574,-0.006667544772018141,-0.07095415231646107,0.004686779131703678,3472950.0,99,True,43.04039106708552,41.064503415501264,0.0,71.98599299649825,core,core,True
IRS,355,-0.014141416346966307,-0.033025098326402436,0.08524837596118573,-0.06870228405601564,0.056092835120596485,108050.0,100,True,43.126705228621205,45.57925926015136,74.28139612178163,13.10655327663832,core,core,True
STNG,354,0.056878645719571796,0.02848897987587029,-0.026726216017501025,0.19966820883473746,0.0,760550.0,101,True,39.50251938806015,52.149087654094984,0.0,34.4672336168084,core,core,True
INVA,358,0.024096385542168752,-0.015291933497346477,-0.02522932368389874,-0.10901468930330915,0.02567627141930262,600900.0,102,True,31.013773277196833,31.772592167952098,0.0,30.21510755377689,core,core,True
NCZ,354,0.01002338133636127,0.07223016484888412,0.060676870907376834,0.14600369455364137,0.005569316425600324,49250.0,103,True,41.73886841066897,62.18875401646571,0.0,7.878939469734868,core,core,True
NCV,358,-0.02632791575810256,-0.003977619244281749,0.01901668341336249,0.07356191597497275,0.031159781336180803,47200.0,104,True,46.16189562731866,48.33193981443568,63.75407816136803,7.5037518759379696,core,core,True
